"Poverty estimates for the U.S., States, and counties, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Department of Commerce, Bureau of the Census, Small Area Income and Poverty Estimates (SAIPE) Program. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For definitions of rural classifications, see the USDA, Economic Research Service webpage ""Rural Classifications"" in the ""Rural Economy & Population"" topic. Note that counties not existing when rural classifications were determined will not have values for those fields. Variable descriptions (column names) are found in the second tab in this workbook.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This table was prepared by USDA, Economic Research Service. Data as of June 3, 2022. Contact: Kathleen Kassel, katheen.kassel@usda.gov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIPS_code,Stabr,Area_name,Rural-urban_Continuum_Code_2003,Urban_Influence_Code_2003,Rural-urban_Continuum_Code_2013,Urban_Influence_Code_2013,POVALL_2020,CI90LBALL_2020,CI90UBALL_2020,PCTPOVALL_2020,CI90LBALLP_2020,CI90UBALLP_2020,POV017_2020,CI90LB017_2020,CI90UB017_2020,PCTPOV017_2020,CI90LB017P_2020,CI90UB017P_2020,POV517_2020,CI90LB517_2020,CI90UB517_2020,PCTPOV517_2020,CI90LB517P_2020,CI90UB517P_2020,MEDHHINC_2020,CI90LBINC_2020,CI90UBINC_2020,POV04_2020,CI90LB04_2020,CI90UB04_2020,PCTPOV04_2020,CI90LB04P_2020,CI90UB04P_2020,,,,,,,,,,,,,
00000,US,United States,,,,,"38,371,394","38,309,115","38,433,673",11.9,11.9,11.9,"11,204,423","11,176,652","11,232,194",15.7,15.7,15.7,"7,798,566","7,778,138","7,818,994",14.9,14.9,14.9,"67,340","67,251","67,429","3,146,325","3,133,736","3,158,914",16.8,16.7,16.9,,,,,,,,,,,,,
01000,AL,Alabama,,,,,"714,568","695,249","733,887",14.9,14.5,15.3,"222,934","213,738","232,130",20.9,20.0,21.8,"152,810","144,819","160,801",19.7,18.7,20.7,"53,958","53,013","54,903","66,169","61,541","70,797",23.3,21.7,24.9,,,,,,,,,,,,,
01001,AL,Autauga County,2,2,2,2,"6,242","4,930","7,554",11.2,8.8,13.6,"1,912","1,327","2,497",14.9,10.3,19.5,"1,378",926,"1,830",14.5,9.7,19.3,"67,565","59,132","75,998",,,,,,,,,,,,,,,,,,,
01003,AL,Baldwin County,4,5,3,2,"20,189","15,535","24,843",8.9,6.8,11.0,"5,907","3,802","8,012",12.4,8.0,16.8,"4,192","2,677","5,707",11.8,7.5,16.1,"71,135","66,540","75,730",,,,,,,,,,,,,,,,,,,
01005,AL,Barbour County,6,6,6,6,"5,548","4,210","6,886",25.5,19.3,31.7,"1,857","1,291","2,423",37.5,26.1,48.9,"1,303",888,"1,718",35.8,24.4,47.2,"38,866","33,510","44,222",,,,,,,,,,,,,,,,,,,
01007,AL,Bibb County,1,1,1,1,"3,549","2,712","4,386",17.8,13.6,22.0,941,663,"1,219",21.9,15.4,28.4,681,481,881,22.1,15.6,28.6,"50,907","43,627","58,187",,,,,,,,,,,,,,,,,,,
01009,AL,Blount County,1,1,1,1,"7,525","6,034","9,016",13.1,10.5,15.7,"2,456","1,877","3,035",18.9,14.4,23.4,"1,515","1,069","1,961",15.8,11.1,20.5,"55,203","47,820","62,586",,,,,,,,,,,,,,,,,,,
01011,AL,Bullock County,6,6,6,6,"2,552","1,914","3,190",30.8,23.1,38.5,790,544,"1,036",38.7,26.7,50.7,547,367,727,37.0,24.8,49.2,"33,124","27,881","38,367",,,,,,,,,,,,,,,,,,,
01013,AL,Butler County,6,6,6,6,"3,954","2,966","4,942",20.6,15.4,25.8,"1,306",887,"1,725",30.8,20.9,40.7,934,622,"1,246",29.8,19.9,39.7,"42,268","36,478","48,058",,,,,,,,,,,,,,,,,,,
01015,AL,Calhoun County,3,2,3,2,"15,915","12,764","19,066",14.5,11.6,17.4,"3,963","2,422","5,504",16.7,10.2,23.2,"2,885","1,730","4,040",16.7,10.0,23.4,"50,259","45,055","55,463",,,,,,,,,,,,,,,,,,,
