Product Details,,,,
ProductID,Product,Category,ManufacturerID,Price
1,Abbas MA-01|All Season,Mix,1,USD 412.13
2,Abbas MA-02|All Season,,1,USD 329.78
3,Abbas MA-03|All Season,,1,USD 963.38
4,Abbas MA-04|All Season,,1,USD 828.98
5,Abbas MA-05|All Season,,1,USD 745.5
7,Abbas MA-07|All Season,,1,USD 451.45
6,Abbas MA-06|All Season,,1,USD 329.78
8,Abbas MA-08|All Season,,1,USD 485.89
9,Abbas MA-09|All Season,,1,USD 634.73
10,Abbas MA-10|All Season,,1,USD 681.98
11,Abbas MA-11|All Season,,1,USD 761.25
12,Abbas MA-12|All Season,,1,USD 456.7
13,Abbas MA-13|All Season,,1,USD 456.7
14,Abbas MA-14|All Season,,1,USD 419.95
15,Abbas MA-15|All Season,,1,USD 472.45
16,Abbas MA-16|All Season,,1,USD 711.38
17,Abbas MA-17|All Season,,1,USD 414.75
18,Abbas MA-18|All Season,,1,USD 393.7
19,Abbas MA-19|All Season,,1,USD 393.7
20,Abbas MA-20|All Season,,1,USD 509.25
21,Abbas MA-21|All Season,,1,USD 430.5
22,Abbas MA-22|All Season,,1,USD 551.25
23,Abbas MA-23|All Season,,1,USD 758.63
25,Abbas MA-25|All Season,,1,USD 792.75
26,Abbas MA-26|All Season,,1,USD 847.88
24,Abbas MA-24|All Season,,1,USD 329.78
27,Abbas MA-27|All Season,,1,USD 446.2
28,Abbas MA-28|All Season,,1,USD 431.8125
29,Abbas MA-29|All Season,,1,USD 524.48
30,Abbas MA-30|All Season,,1,USD 854.7
31,Abbas MA-31|All Season,,1,USD 761.25
32,Abbas MA-32|All Season,,1,USD 711.38
33,Abbas MA-33|All Season,,1,USD 734.475
34,Abbas MA-34|All Season,,1,USD 424.725
35,Abbas MA-35|All Season,,1,USD 472.4475
36,Abbas MA-36|All Season,,1,USD 527.1
37,Abbas MA-37|All Season,,1,USD 454.13
38,Abbas MA-38|All Season,,1,USD 446.25
40,Abbas MA-40|All Season,,1,USD 1049.48
41,Abbas MA-41|All Season,,1,USD 845.25
42,Abbas MA-42|All Season,,1,USD 1077.3
39,Abbas MA-39|All Season,,1,USD 329.78
43,Abbas MA-43|All Season,,1,USD 419.95
44,Abbas MA-44|All Season,,1,USD 440.95
45,Abbas MA-45|All Season,,1,USD 472.45
46,Abbas RP-01|Productivity,Rural,1,USD 314.9475
47,Abbas RP-02|Productivity,,1,USD 314.9475
48,Abbas RP-03|Productivity,,1,USD 65.5725
49,Abbas RP-04|Productivity,,1,USD 65.5725
50,Abbas RP-05|Productivity,,1,USD 750.6975
51,Abbas RP-06|Productivity,,1,USD 750.6975
52,Abbas RP-07|Productivity,,1,USD 341.2
53,Abbas RP-08|Productivity,,1,USD 341.2
54,Abbas RP-09|Productivity,,1,USD 419.95
55,Abbas RP-10|Productivity,,1,USD 419.95
56,Abbas RP-11|Productivity,,1,USD 314.95
57,Abbas RP-12|Productivity,,1,USD 314.95
58,Abbas RP-13|Productivity,,1,USD 367.45
59,Abbas RP-14|Productivity,,1,USD 367.45
60,Abbas RP-15|Productivity,,1,USD 404.1975
61,Abbas RP-16|Productivity,,1,USD 404.1975
62,Abbas RP-17|Productivity,,1,USD 419.95
63,Abbas RP-18|Productivity,,1,USD 419.95
64,Abbas RP-19|Productivity,,1,USD 314.95
65,Abbas RP-20|Productivity,,1,USD 314.95
66,Abbas RP-21|Productivity,,1,USD 435.6975
67,Abbas RP-22|Productivity,,1,USD 435.6975
68,Abbas RS-01|Select,Rural,1,USD 367.45
69,Abbas RS-02|Select,,1,USD 330.7
70,Abbas RS-03|Select,,1,USD 419.9475
71,Abbas RS-04|Select,,1,USD 398.95
72,Abbas RS-05|Select,,1,USD 404.1975
73,Abbas RS-06|Select,,1,USD 330.7
189,Abbas UC-01|Convenience,Urban,1,USD 792.75
190,Abbas UC-02|Convenience,,1,USD 786.98
191,Abbas UC-03|Convenience,,1,USD 792.75
192,Abbas UC-04|Convenience,,1,USD 787.5
74,Abbas UM-01|Moderation,Urban,1,USD 1128.75
193,Abbas UC-05|Convenience,,1,USD 765.98
75,Abbas UM-02|Moderation,,1,USD 786.975
194,Abbas UC-06|Convenience,,1,USD 787.5
76,Abbas UM-03|Moderation,,1,USD 865.73
195,Abbas UC-07|Convenience,,1,USD 839.475
77,Abbas UM-04|Moderation,,1,USD 329.78
196,Abbas UC-08|Convenience,,1,USD 839.48
78,Abbas UM-05|Moderation,,1,USD 329.78
173,Abbas UE-01|Extreme,Urban,1,USD 1077.565
79,Abbas UM-06|Moderation,,1,USD 860.475
174,Abbas UE-02|Extreme,,1,USD 756
80,Abbas UM-07|Moderation,,1,USD 619.5
175,Abbas UE-03|Extreme,,1,USD 629.48
81,Abbas UM-08|Moderation,,1,USD 329.78
176,Abbas UE-04|Extreme,,1,USD 768.08
82,Abbas UM-09|Moderation,,1,USD 839.475
177,Abbas UE-05|Extreme,,1,USD 786.98
83,Abbas UM-10|Moderation,,1,USD 786.975
178,Abbas UE-06|Extreme,,1,USD 522.38
84,Abbas UM-11|Moderation,,1,USD 886.725
180,Abbas UE-08|Extreme,,1,USD 832.13
85,Abbas UM-12|Moderation,,1,USD 807.98
181,Abbas UE-09|Extreme,,1,USD 708.23
86,Abbas UM-13|Moderation,,1,USD 1181.25
182,Abbas UE-10|Extreme,,1,USD 1338.75
87,Abbas UM-14|Moderation,,1,USD 329.78
183,Abbas UE-11|Extreme,,1,USD 795.38
88,Abbas UM-15|Moderation,,1,USD 892.5
184,Abbas UE-12|Extreme,,1,USD 866.25
89,Abbas UM-16|Moderation,,1,USD 839.48
185,Abbas UE-13|Extreme,,1,USD 830.8125
90,Abbas UM-17|Moderation,,1,USD 329.78
187,Abbas UE-15|Extreme,,1,USD 823.73
91,Abbas UM-18|Moderation,,1,USD 329.78
188,Abbas UE-16|Extreme,,1,USD 771.75
92,Abbas UM-19|Moderation,,1,USD 998.8125
93,Abbas UM-20|Moderation,,1,USD 1165.24
94,Abbas UM-21|Moderation,,1,USD 891.98
95,Abbas UM-22|Moderation,,1,USD 329.78
96,Abbas UM-23|Moderation,,1,USD 771.225
97,Abbas UM-24|Moderation,,1,USD 634.73
98,Abbas UM-25|Moderation,,1,USD 329.78
99,Abbas UM-26|Moderation,,1,USD 786.975
100,Abbas UM-27|Moderation,,1,USD 1039.5
101,Abbas UM-28|Moderation,,1,USD 329.78
102,Abbas UM-29|Moderation,,1,USD 849.98
103,Abbas UM-30|Moderation,,1,USD 913.1325
104,Abbas UM-31|Moderation,,1,USD 329.78
105,Abbas UM-32|Moderation,,1,USD 329.78
106,Abbas UM-33|Moderation,,1,USD 987.2625
107,Abbas UM-34|Moderation,,1,USD 658.88
108,Abbas UM-35|Moderation,,1,USD 987
109,Abbas UM-36|Moderation,,1,USD 1257.38
110,Abbas UM-37|Moderation,,1,USD 576.975
111,Abbas UM-38|Moderation,,1,USD 792.75
112,Abbas UM-39|Moderation,,1,USD 329.78
113,Abbas UM-40|Moderation,,1,USD 839.475
114,Abbas UM-41|Moderation,,1,USD 886.73
115,Abbas UM-42|Moderation,,1,USD 957.6
116,Abbas UM-43|Moderation,,1,USD 329.78
117,Abbas UM-44|Moderation,,1,USD 329.78
118,Abbas UM-45|Moderation,,1,USD 1572.38
119,Abbas UM-46|Moderation,,1,USD 329.78
120,Abbas UM-47|Moderation,,1,USD 839.48
121,Abbas UM-48|Moderation,,1,USD 329.78
122,Abbas UM-49|Moderation,,1,USD 329.78
123,Abbas UM-50|Moderation,,1,USD 329.78
124,Abbas UM-51|Moderation,,1,USD 329.78
125,Abbas UM-52|Moderation,,1,USD 555.975
127,Abbas UM-54|Moderation,,1,USD 839.475
126,Abbas UM-53|Moderation,,1,USD 329.78
128,Abbas UM-55|Moderation,,1,USD 687.225
130,Abbas UR-01|Regular,Urban,1,USD 832.125
132,Abbas UR-03|Regular,,1,USD 782.25
129,Abbas UM-56|Moderation,,1,USD 329.78
133,Abbas UR-04|Regular,,1,USD 813.23
135,Abbas UR-06|Regular,,1,USD 492.975
131,Abbas UR-02|Regular,,1,USD 329.78
136,Abbas UR-07|Regular,,1,USD 455.44
139,Abbas UR-10|Regular,,1,USD 629.48
140,Abbas UR-11|Regular,,1,USD 666.23
134,Abbas UR-05|Regular,,1,USD 329.78
141,Abbas UR-12|Regular,,1,USD 681.98
142,Abbas UR-13|Regular,,1,USD 769.125
143,Abbas UR-14|Regular,,1,USD 485.625
137,Abbas UR-08|Regular,,1,USD 329.78
144,Abbas UR-15|Regular,,1,USD 482.48
138,Abbas UR-09|Regular,,1,USD 329.78
145,Abbas UR-16|Regular,,1,USD 471.98
146,Abbas UR-17|Regular,,1,USD 540.225
148,Abbas UR-19|Regular,,1,USD 690.38
149,Abbas UR-20|Regular,,1,USD 393.23
150,Abbas UR-21|Regular,,1,USD 569.1
151,Abbas UR-22|Regular,,1,USD 356.475
152,Abbas UR-23|Regular,,1,USD 471.975
153,Abbas UR-24|Regular,,1,USD 448.35
155,Abbas UR-26|Regular,,1,USD 502.69
147,Abbas UR-18|Regular,,1,USD 329.78
157,Abbas UR-28|Regular,,1,USD 666.225
158,Abbas UR-29|Regular,,1,USD 656.25
159,Abbas UR-30|Regular,,1,USD 805.88
160,Abbas UR-31|Regular,,1,USD 729.75
162,Abbas UR-33|Regular,,1,USD 485.625
163,Abbas UR-34|Regular,,1,USD 566.48
164,Abbas UR-35|Regular,,1,USD 589.58
154,Abbas UR-25|Regular,,1,USD 329.78
165,Abbas UR-36|Regular,,1,USD 740.25
166,Abbas UR-37|Regular,,1,USD 624.75
156,Abbas UR-27|Regular,,1,USD 329.78
168,Abbas UR-39|Regular,,1,USD 629.48
170,Abbas UR-41|Regular,,1,USD 752.0625
197,Abbas YY-01|Youth,Youth,1,USD 503.48
198,Abbas YY-02|Youth,,1,USD 524.48
161,Abbas UR-32|Regular,,1,USD 329.78
167,Abbas UR-38|Regular,,1,USD 329.78
169,Abbas UR-40|Regular,,1,USD 329.78
171,Abbas UR-42|Regular,,1,USD 329.78
172,Abbas UR-43|Regular,,1,USD 329.78
179,Abbas UE-07|Extreme,,1,USD 329.78
186,Abbas UE-14|Extreme,,1,USD 329.78
199,Barba UM-01|Moderation,Urban,3,USD 1286.2
200,Barba UM-02|Moderation,,3,USD 1312.45
201,Barba UM-03|Moderation,,3,USD 1569.7
202,Barba UM-04|Moderation,,3,USD 1443.7
203,Barba UM-05|Moderation,,3,USD 1076.1975
204,Barba UM-06|Moderation,,3,USD 965.95
205,Barba UM-07|Moderation,,3,USD 1157.5725
206,Barba UM-08|Moderation,,3,USD 1025.6925
207,Barba UM-09|Moderation,,3,USD 1049.95
208,Barba UM-10|Moderation,,3,USD 1472.575
209,Barba UM-11|Moderation,,3,USD 1601.2
210,Barba UM-12|Moderation,,3,USD 1304.5725
211,Fama MA-01|All Season,Mix,5,USD 329.78
212,Fama MA-02|All Season,,5,USD 329.78
213,Fama RP-01|Productivity,Rural,5,USD 1575
214,Fama RP-02|Productivity,,5,USD 1575
215,Fama RP-03|Productivity,,5,USD 1522.2375
216,Fama RP-04|Productivity,,5,USD 1522.2375
217,Fama RP-05|Productivity,,5,USD 329.78
218,Fama RP-06|Productivity,,5,USD 329.78
219,Fama RP-07|Productivity,,5,USD 1522.24
220,Fama RP-08|Productivity,,5,USD 1522.24
221,Fama RP-09|Productivity,,5,USD 1522.24
222,Fama RP-10|Productivity,,5,USD 1522.24
223,Fama UM-01|Moderation,Urban,5,USD 850.24
224,Fama UM-02|Moderation,,5,USD 655.99
225,Fama UM-03|Moderation,,5,USD 760.99
226,Fama UM-04|Moderation,,5,USD 771.49
227,Fama UM-05|Moderation,,5,USD 802.99
228,Fama UM-06|Moderation,,5,USD 655.99
229,Fama UR-01|Regular,Urban,5,USD 603.4875
230,Fama UR-02|Regular,,5,USD 682.2375
231,Fama UR-03|Regular,,5,USD 724.24
232,Fama UR-04|Regular,,5,USD 340.9875
233,Fama UR-05|Regular,,5,USD 393.4875
234,Fama UR-06|Regular,,5,USD 440.74
235,Fama UR-07|Regular,,5,USD 524.74
236,Fama UR-08|Regular,,5,USD 577.24
237,Fama UR-09|Regular,,5,USD 577.24
238,Fama UR-10|Regular,,5,USD 393.49
239,Fama UR-11|Regular,,5,USD 419.74
240,Fama UR-12|Regular,,5,USD 472.24
241,Fama UR-13|Regular,,5,USD 419.74
242,Fama UR-14|Regular,,5,USD 472.24
243,Fama UR-15|Regular,,5,USD 603.49
244,Fama UR-16|Regular,,5,USD 629.74
245,Fama UR-17|Regular,,5,USD 314.74
246,Fama UR-18|Regular,,5,USD 760.99
247,Fama UR-19|Regular,,5,USD 419.74
248,Fama UR-20|Regular,,5,USD 582.49
249,Fama UR-21|Regular,,5,USD 419.74
250,Fama UR-22|Regular,,5,USD 629.7375
251,Fama UR-23|Regular,,5,USD 582.49
252,Fama UR-24|Regular,,5,USD 629.74
253,Fama UR-25|Regular,,5,USD 734.74
254,Fama UR-26|Regular,,5,USD 839.74
255,Fama UR-27|Regular,,5,USD 340.99
256,Fama UR-28|Regular,,5,USD 451.24
257,Fama UR-29|Regular,,5,USD 587.7375
258,Fama UR-30|Regular,,5,USD 682.24
259,Fama UR-31|Regular,,5,USD 629.74
260,Fama UR-32|Regular,,5,USD 682.24
261,Fama UR-33|Regular,,5,USD 787.24
262,Fama UR-34|Regular,,5,USD 393.49
263,Fama UR-35|Regular,,5,USD 577.24
264,Fama UR-36|Regular,,5,USD 708.49
265,Fama UR-37|Regular,,5,USD 655.99
266,Fama UR-38|Regular,,5,USD 708.49
267,Fama UR-39|Regular,,5,USD 367.24
268,Fama UR-40|Regular,,5,USD 514.24
269,Fama UR-41|Regular,,5,USD 451.24
270,Fama UR-42|Regular,,5,USD 456.49
271,Fama UR-43|Regular,,5,USD 561.4875
272,Fama UR-44|Regular,,5,USD 629.74
273,Fama UR-45|Regular,,5,USD 445.99
274,Fama UR-46|Regular,,5,USD 603.49
275,Fama UR-47|Regular,,5,USD 787.2375
276,Fama UR-48|Regular,,5,USD 524.74
277,Fama UR-49|Regular,,5,USD 734.74
278,Fama UR-50|Regular,,5,USD 393.49
279,Fama UR-51|Regular,,5,USD 682.24
280,Fama UE-01|Extreme,Urban,5,USD 1049.74
281,Fama UE-02|Extreme,,5,USD 1312.24
282,Fama UE-03|Extreme,,5,USD 1207.24
283,Fama UE-04|Extreme,,5,USD 329.78
284,Fama UE-05|Extreme,,5,USD 329.78
285,Fama UE-06|Extreme,,5,USD 329.78
