Sales,Date,forecastValue,confidenceHighBound,confidenceLowBound
$362,2012-03-31 00:00:00,,,
$385,2012-06-30 00:00:00,,,
$432,2012-09-30 00:00:00,,,
$341,2012-12-31 00:00:00,,,
$382,2013-03-31 00:00:00,,,
$409,2013-06-30 00:00:00,,,
$498,2013-09-30 00:00:00,,,
$387,2013-12-31 00:00:00,,,
$473,2014-03-31 00:00:00,,,
$513,2014-06-30 00:00:00,,,
$582,2014-09-30 00:00:00,,,
$474,2014-12-31 00:00:00,,,
$544,2015-03-31 00:00:00,,,
$582,2015-06-30 00:00:00,,,
$681,2015-09-30 00:00:00,,,
$557,2015-12-31 00:00:00,,,
$628,2016-03-31 00:00:00,,,
$707,2016-06-30 00:00:00,707,707,707
$773,2016-09-30 00:00:00,812.989482231849,864.135589649876,761.843374813822
$592,2016-12-31 00:00:00,636.126819417136,689.35394124583,582.899697588442
$627,2017-03-31 00:00:00,725.535867003665,797.71951547286,653.35221853447
$725,2017-06-30 00:00:00,785.453107754046,873.840901937064,697.065313571027
$854,2017-09-30 00:00:00,900.684282126368,1012.2665212357,789.102043017031
$661,2017-12-31 00:00:00,702.942166599657,796.950710987676,608.933622211638
