col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,target
924,3,70.06425622,24.0208243,44.50842617,24.31049156,3.117595227,cat2,398.4551022,cat13,1416.142572
956,4.898979486,56.26721959,20.59126028,32.87856445,20,2.886814854,cat2,70.82308664,cat2,1416.142572
1583,4.242640687,94.62029381,32.77193922,54.87257967,31.51190251,3.276766699,cat2,770.7427885,cat11,1416.142572
1586,4,87.64131446,30.757113,52.69724851,30.13303835,3.086600071,cat2,751.9959917,cat13,1416.142572
3487,3.16227766,87.54998572,31.60696126,59.30430001,31.591138,3.298560292,cat2,695.0486238,cat5,1416.142572
3534,4.795831523,70.42726745,24.33105012,43.92038251,24.20743687,3.302302227,cat2,554.2344773,na,1416.142572
3543,4.472135955,85.93020424,29.06888371,52.86775955,29.52964612,3.099145043,cat2,276.3215756,,1416.142572
3557,5.567764363,44.29446918,15.58845727,26.40075756,15.55634919,2.926602125,cat2,279.5414963,cat13,1416.142572
3558,4.795831523,54.58937626,19.02629759,34.75629439,19.4422221,2.858566074,cat2,618.6253154,na,1416.142572
3572,4.898979486,65.8634952,23.62202362,38.91015292,23.43074903,2.97677678,cat2,437.1831645,cat5,1416.142572
3802,5.916079783,47.38143096,19.8242276,27.98213716,20.04993766,2.03823453,cat2,776.6974642,cat12,1416.142572
3859,6.480740698,27.87471973,10.09950494,16.85229955,10.63014581,3.348029271,cat2,401.3168354,cat12,1416.142572
3954,2.236067977,73.68174808,25.78759392,48.11444689,26.21068484,3.105881517,cat2,385.8881191,,1416.142572
4010,5.567764363,44.15880433,19.57038579,29.49576241,18.89444363,1.785357107,cat2,382.1691707,cat4,1416.142572
4011,4.242640687,80.47359815,32.89376841,49.12229636,30.95157508,2.373330993,cat2,421.7215456,cat2,1416.142572
4015,4.69041576,76.09862022,26.57066051,45.37620522,25.94224354,3.304557459,cat2,393.7751404,,1416.142572
4034,6,46.11941023,17.23368794,27.58622845,16.55294536,2.799857139,cat2,551.7921595,cat6,1416.142572
4035,5.916079783,54.65345369,19.77371993,35.27038418,19.67231557,2.670617906,cat2,77.62103562,cat13,1416.142572
4039,4.795831523,105.6124993,44.66542287,63.8435588,42.53234064,2.336856863,cat2,177.4720322,cat12,1416.142572
4040,5.656854249,45.91296113,17.57839583,27.73084925,16.55294536,2.952490474,cat2,731.0248536,cat14,1416.142572
4041,6.08276253,57.7321401,22.09072203,34.21987726,22.02271555,2.548685936,cat2,698.378695,na,1416.142572
4043,5.744562647,55.71355311,19.67231557,33.33166662,19.39071943,3.663277221,cat2,205.8122415,cat12,1416.142572
4045,5.744562647,53.18834459,18.97366596,31.78049716,19.05255888,3.218493436,cat2,759.391453,na,1416.142572
4046,5.291502622,59.48949487,21,34.49637662,20.51828453,3.267965728,cat2,160.6856433,cat5,1416.142572
4047,4.898979486,66.28725368,,37.98683983,22.97825059,3.361234892,cat2,622.6490119,cat10,1416.142572
4048,5.291502622,82.14621111,30.06659276,49.30517214,29.59729717,3.589972145,cat2,204.3617872,cat10,1416.142572
4049,5.291502622,83.18653737,30.09983389,50.14977567,29.3257566,3.036264152,cat2,317.6540075,cat12,1416.142572
4050,5.099019514,100.5534684,35.98610843,59.99166609,35.4541958,3.198312055,cat2,325.6649823,cat4,1416.142572
4051,4.795831523,98.27003612,34.4818793,59.87486952,34.0881211,3.23108341,cat2,490.5475941,cat2,1416.142572
4057,6.633249581,42.16633728,15.84297952,25.3179778,15.84297952,3.170946231,cat2,597.0206771,cat3,1416.142572
4068,6.557438524,28.35489376,10.81665383,16.34013464,10.48808848,2.868257311,cat2,435.8933423,cat5,1416.142572
4070,5.477225575,59.21992908,23.15167381,37.77565354,22.91287847,2.590019305,cat2,314.6132691,cat8,1416.142572
4071,5.567764363,96.54014709,33.80828301,54.58937626,33.30165161,3.218679854,cat2,743.9891411,cat10,1416.142572
4072,5.830951895,72.55342859,27.76688675,41.68932717,27.44084547,2.968417087,cat2,565.2655302,cat13,1416.142572
4073,6,53.60037313,20.49390153,29.15475947,19.46792233,2.855345863,cat2,439.414055,cat5,1416.142572
4074,5.830951895,60.38211656,24.69817807,37.28270376,24.63736999,2.762064445,cat2,615.5660707,cat3,1416.142572
4075,6.633249581,41.14608122,15.45962483,22.3159136,14.69693846,3.305102116,cat2,108.6799866,cat12,1416.142572
4076,6.08276253,66.33249581,26.36285265,39,25.8069758,2.880173606,cat2,130.9369186,cat6,1416.142572
4078,7.211102551,40.98780306,15.42724862,22.20360331,14.52583905,3.006991852,cat2,319.4181243,cat15,1416.142572
4079,6.403124237,59.53990259,26.41968963,34.94281042,25.51470164,2.073644135,cat2,683.9831436,cat8,1416.142572
4109,5.291502622,65.47518614,25.03996805,38.70400496,24.79919354,2.927063375,cat2,35.09674778,cat3,1416.142572
4110,5.830951895,68,27.94637722,39.6484552,26.81417536,2.559941406,cat2,79.225939,,1416.142572
4112,5.656854249,90.89554445,34,52.07686627,33.54101966,3.249230678,cat2,612.3820779,cat6,1416.142572
4116,5.196152423,63.16644679,29.86636905,37.64306045,28.28427125,2.010945051,cat2,49.21032058,cat2,1416.142572
4117,6.164414003,61.88699379,22.75961335,35.94440151,22.71563338,3.575234258,cat2,471.3843241,cat13,1416.142572
4221,7.071067812,48.82622246,17.66352173,28.91366459,18.35755975,3.58835617,cat2,493.0584215,cat15,1416.142572
4225,5.477225575,52.66877633,23.87467277,32.80243893,24.08318916,2.301303978,cat2,357.2679095,na,1416.142572
4230,7,53.38539126,19.46792233,33.36165464,19.49358869,3.599874998,cat2,778.4213004,cat11,1416.142572
4234,5,39.87480407,14.76482306,23.83275058,14.35270009,2.904978485,cat2,503.8196374,cat12,1416.142572
